,probabilities,name,assists,blocks,field_goal_attempts,field_goal_percentage,field_goals,opp_blocks,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goals,points,rank,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_percentage
8,0.49,Memphis Grizzlies,2135,473,7551,0.475,3585,427,0.45299999999999996,3340,1931,0.787,1519,902,1065,3640,1240,4367,2275,9587,9,2807,0.35100000000000003,985,0.5479999999999999
11,0.48,Denver Nuggets,2368,368,7088,0.504,3574,344,0.478,3423,1861,0.775,1443,832,933,3348,1105,4455,2490,9495,12,2559,0.379,969,0.575
1,0.475,Golden State Warriors,2446,323,7393,0.479,3538,326,0.469,3478,2067,0.769,1589,880,1060,3553,1172,4508,2418,9753,2,3540,0.385,1363,0.564
19,0.47,Brooklyn Nets,2093,506,6978,0.48700000000000004,3399,317,0.46299999999999997,3360,2003,0.767,1537,943,968,3701,1126,4617,2392,9295,20,2771,0.37799999999999995,1048,0.5589999999999999
7,0.47,Milwaukee Bucks,2115,403,7411,0.473,3504,323,0.456,3483,1719,0.7759999999999999,1334,879,991,3623,970,4845,2492,9589,8,3306,0.368,1217,0.557
3,0.46,Boston Celtics,2186,430,7278,0.475,3460,318,0.46299999999999997,3425,1733,0.769,1332,799,954,3609,1040,4631,2471,9671,4,3492,0.377,1315,0.5670000000000001
21,0.455,Chicago Bulls,2006,371,7116,0.49,3488,389,0.46799999999999997,3339,1806,0.779,1406,791,1086,3554,1234,4100,2253,9276,22,2367,0.361,854,0.555
5,0.455,Los Angeles Lakers,2072,378,7298,0.48200000000000004,3516,416,0.469,3607,1706,0.773,1319,908,1028,3678,1035,4707,2579,9608,6,2558,0.34600000000000003,885,0.555
0,0.45,Sacramento Kings,2237,275,7232,0.494,3573,341,0.49200000000000005,3589,1882,0.787,1481,795,1022,3460,1165,4548,2567,9898,1,3060,0.369,1128,0.586
24,0.445,Cleveland Cavaliers,2045,384,6984,0.488,3408,360,0.46799999999999997,3201,1838,0.782,1438,801,924,3381,1284,4339,2277,9205,25,2589,0.36700000000000005,950,0.5589999999999999
12,0.445,Minnesota Timberwolves,2145,444,7167,0.49,3515,336,0.47100000000000003,3428,2133,0.7659999999999999,1634,928,1007,3662,1262,4549,2421,9494,13,2731,0.365,997,0.568
13,0.445,Philadelphia 76ers,2063,389,6870,0.48700000000000004,3347,380,0.473,3312,1943,0.7809999999999999,1518,782,952,3375,1171,4270,2360,9448,14,2675,0.387,1035,0.551
2,0.44,Atlanta Hawks,2049,401,7574,0.483,3658,414,0.486,3592,1899,0.8029999999999999,1524,866,979,3617,1162,4650,2613,9711,3,2505,0.35200000000000004,882,0.5479999999999999
20,0.435,Washington Wizards,2083,424,7127,0.485,3456,406,0.473,3481,1794,0.7979999999999999,1432,883,984,3528,1008,4675,2497,9279,21,2601,0.35600000000000004,925,0.5589999999999999
14,0.43,New Orleans Pelicans,2122,337,7180,0.48,3447,386,0.47200000000000003,3357,1935,0.779,1507,792,1002,3426,1228,4152,2355,9378,15,2468,0.364,899,0.541
17,0.43,Los Angeles Clippers,1959,364,7059,0.47700000000000004,3370,343,0.474,3430,1832,0.7709999999999999,1413,838,1000,3537,1065,4505,2430,9314,18,2735,0.381,1041,0.539
6,0.425,Utah Jazz,2129,429,7365,0.473,3485,405,0.473,3555,1989,0.7759999999999999,1544,919,1023,3563,1030,4685,2532,9600,7,3099,0.353,1094,0.56
10,0.41,New York Knicks,1880,340,7328,0.47,3444,370,0.462,3343,1943,0.782,1520,830,1068,3447,1044,4237,2275,9514,11,2930,0.354,1037,0.547
15,0.395,Dallas Mavericks,1880,304,6909,0.475,3283,312,0.485,3425,2046,0.7809999999999999,1597,830,913,3668,1075,4469,2512,9366,16,3362,0.371,1246,0.574
18,0.395,Portland Trail Blazers,1981,376,7001,0.474,3317,352,0.491,3522,1977,0.787,1555,857,1029,3543,1108,4459,2493,9299,19,2893,0.365,1056,0.55
25,0.385,Orlando Magic,1906,382,7074,0.47,3323,415,0.47600000000000003,3389,1890,0.7959999999999999,1504,779,1064,3448,1204,4097,2325,9136,26,2551,0.34600000000000003,883,0.539
9,0.38,Indiana Pacers,2213,478,7345,0.469,3444,438,0.485,3549,2100,0.8,1679,993,1019,3714,1235,4590,2530,9535,10,3030,0.36700000000000005,1112,0.54
4,0.38,Oklahoma City Thunder,2002,341,7590,0.465,3533,454,0.474,3437,2090,0.7709999999999999,1611,982,1059,3823,1375,4297,2378,9633,5,2797,0.35600000000000004,995,0.53
16,0.375,Phoenix Suns,2235,432,7388,0.467,3453,327,0.466,3280,2101,0.7859999999999999,1651,840,938,3516,1183,4416,2342,9319,17,2674,0.374,1001,0.52
26,0.36,Charlotte Hornets,2062,425,7413,0.457,3385,471,0.47700000000000004,3522,1965,0.795,1562,895,1004,3787,1177,4579,2518,9098,27,2669,0.33,881,0.528
27,0.355,Houston Rockets,1835,374,7287,0.457,3329,509,0.48200000000000004,3480,1986,0.794,1576,861,1189,3404,1079,4043,2291,9081,28,2619,0.327,856,0.53
23,0.35,Toronto Raptors,1961,424,7489,0.45899999999999996,3434,376,0.491,3312,1893,0.797,1508,757,1001,3466,1367,4076,2311,9254,24,2626,0.335,880,0.525
29,0.35,Miami Heat,1955,243,6991,0.46,3215,309,0.48200000000000004,3288,1728,0.7809999999999999,1350,729,1077,3431,1288,3889,2211,8977,30,2852,0.344,980,0.54
22,0.345,San Antonio Spurs,2232,322,7593,0.465,3533,431,0.507,3780,1942,0.77,1496,877,1036,3688,1135,4809,2744,9269,23,2640,0.345,911,0.529
28,0.345,Detroit Pistons,1884,308,7140,0.45399999999999996,3244,453,0.489,3533,2149,0.777,1669,901,984,3668,1108,4490,2549,9045,29,2659,0.35100000000000003,934,0.516
